"name"
"UCEC"
"THCA"
"STES"
"PRAD"
"LUSC"
"LUAD"
"LIHC"
"KIRP"
"KIRC"
"KIPAN"
"KICH"
"HNSC"
"ESCA"
"CHOL"
"BRCA"
"BLCA"
